ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25	ID26	ID27	ID28	ID29	ID30	ID31	ID32	ID33	ID34	ID35	ID36	ID37	ID38	ID39	ID40	ID41	ID42	ID43	ID44	ID45	ID46	ID47	ID48	ID49	ID50	ID51	ID52	ID53	ID54	ID55	ID56	ID57	ID58	ID59	ID60	ID61	ID62	ID63	ID64	ID65	ID66	ID67	ID68	ID69	ID70	ID71	ID72	ID73	ID74	ID75	ID76	ID77	ID78	ID79	ID80	ID81	ID82	ID83	ID84	ID85	ID86	ID87	ID88	ID89	ID90	ID91	ID92	ID93	ID94	ID95	ID96	ID97	ID98	ID99	ID100	ID101	ID102	ID103	ID104	ID105	ID106	ID107	ID108	ID109	ID110	ID111	ID112	ID113	ID114	ID115	ID116	ID117	ID118	ID119	ID120	ID121	ID122	ID123	ID124	ID125	ID126	ID127	ID128	ID129	ID130	ID131	ID132	ID133	ID134	ID135	ID136	ID137	ID138	ID139	ID140	ID141	ID142	ID143	ID144	ID145	ID146	ID147	ID148	ID149	ID150	ID151	ID152	ID153	ID154	ID155	ID156	ID157	ID158	ID159	ID160	ID161	ID162	ID163	ID164	ID165	ID166	ID167	ID168	ID169	ID170	ID171	ID172	ID173	ID174	ID175	ID176	ID177	ID178	ID179	ID180	ID181	ID182	ID183	ID184	ID185	ID186	ID187	ID188	ID189	ID190	ID191	ID192	ID193	ID194	ID195	ID196	ID197	ID198	ID199	ID200	ID201	ID202	ID203	ID204	ID205	ID206	ID207	ID208	ID209	ID210	ID211	ID212	ID213	ID214	ID215	ID216	ID217	ID218	ID219	ID220	ID221	ID222	ID223	ID224	ID225	ID226	ID227	ID228	ID229	ID230	ID231	ID232	ID233	ID234	ID235	ID236	ID237	ID238	ID239	ID240	ID241	ID242	ID243	ID244	ID245	ID246	ID247	ID248	ID249	ID250
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.68	319.36	798.4	159.68	319.36	0	0	0	0	0	0	0	0	0	159.68	0	0	0	0	0	0	159.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	6.53	0	0	0	0	6.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.06	0	0	0	0	0	0	0	0	0	0	0	0	0	6.53	0	0	6.53	0	0	0	0	0	0	0	0	19.59	0	0	0	0	0	0	0	0	0	6.53	0	6.53	0	0	0	6.53	0	6.53	6.53	6.53	6.53	6.53	0	0	0	13.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.06	13.06	0	0	6.53	0	6.53	6.53	0	0	0	0	0	0	0	0	0	6.53	0	0	0	0	13.06	6.53	0	13.06	19.59	0	19.59	6.53	0	0	6.53	0	0	0	0	0	0	6.53	0	13.06	0	0	0	0	0	0	0	6.53	0	0	0	0	6.53	6.53	6.53	0	13.06	19.59	13.06	0	6.53	13.06	13.06	6.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.53	6.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.53	13.06	6.53	0	0	0	0	0	0	0	0	0	0	0	6.53	0	0	6.53	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	4.8	0	0	0	0	0	0	0	0	0	4.8	9.6	4.8	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	4.8	0	0	0	4.8	0	0	0	0	0	4.8	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	47.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.42	47.71	0	0	1049.62	620.23	286.26	0	238.55	95.42	95.42	524.81	143.13	95.42	47.71	0	143.13	47.71	143.13	0	0	238.55	143.13	95.42	95.42	95.42	47.71	47.71	47.71	47.71	0	95.42	95.42	0	143.13	190.84	286.26	47.71	238.55	95.42	715.65	190.84	1574.43	190.84	190.84	0	333.97	95.42	190.84	47.71	47.71	143.13	906.49	429.39	0	0	47.71	47.71	0	95.42	95.42	286.26	47.71	47.71	95.42	0	143.13	381.68	286.26	0	47.71	190.84	95.42	333.97	0	47.71	0	0	0	0	47.71	190.84	95.42	47.71	0	95.42	143.13	143.13	238.55	47.71	47.71	95.42	95.42	190.84	0	47.71	47.71	0	0	0	0	0	286.26	143.13	95.42	47.71	95.42	0	95.42	47.71	47.71	0	47.71	47.71	0	0	95.42	95.42	238.55	143.13	190.84	143.13	0	0	95.42	47.71	47.71	47.71	143.13	0	0	47.71	47.71	47.71	0	0	0	0	47.71	0	0	0	0	47.71	0	0	47.71	95.42	47.71	47.71	47.71	0	0	47.71	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	111.27	0	111.27	0	0	0	222.54	0	0	111.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.81	0	0	0	0	0	0	0	222.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.27	0	0	0	333.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.27	0	0	0	0	0	0	1112.7	333.81	222.54	445.08	1223.97	556.35	445.08	111.27	445.08	890.16	111.27	111.27	0	222.54	111.27	111.27	0	222.54	0	0	0	667.62	0	0	111.27	111.27	0	111.27	111.27	222.54	0	0	0	0	0	0	445.08	0	556.35	333.81	667.62	0	778.89	0	111.27	111.27	0	111.27	1001.43	445.08	0	0	111.27	333.81	111.27	0	0	667.62	222.54	111.27	0	111.27	0	333.81	0	0	0	0	0	111.27	0	111.27	0	111.27	111.27	556.35	111.27	111.27	0	0	111.27	111.27	667.62	111.27	111.27	333.81	333.81	445.08	222.54	333.81	0	0	222.54	0	0	0	111.27	0	222.54	111.27	111.27	0	111.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222.54	0	0	0	222.54	111.27	0	0	111.27	0	0	111.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.65	0	0	0	4.65	0	0	0	0	9.3	4.65	0	0	0	4.65	0	0	0	0	0	0	0	0	0	0	4.65	0	0	0	0	0	0	9.3	0	0	0	4.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.65	4.65	18.6	0	9.3	27.9	0	0	0	0	0	0	0	4.65	0	0	4.65	0	0	0	0	9.3	0	0	0	0	0	0	0	0	0	51.15	37.2	51.15	51.15	32.55	69.75	23.25	4.65	23.25	0	9.3	9.3	37.2	13.95	88.35	18.6	65.1	55.8	97.65	0	0	0	9.3	27.9	37.2	32.55	4.65	0	13.95	0	32.55	37.2	4.65	37.2	93	32.55	23.25	106.95	51.15	74.4	37.2	32.55	23.25	32.55	41.85	41.85	23.25	13.95	51.15	37.2	27.9	88.35	41.85	18.6	9.3	46.5	27.9	65.1	27.9	23.25	18.6	32.55	41.85	27.9	51.15	13.95	18.6	9.3	4.65	0	0	4.65	0	9.3	4.65	4.65	0	4.65	18.6	0	4.65	4.65	9.3	4.65	4.65	32.55	9.3	9.3	9.3	4.65	37.2	13.95	9.3	9.3	4.65	23.25	18.6	0	0	4.65	4.65	0	9.3	4.65	0	0	4.65	0	0	0	0	0	4.65	0	4.65	9.3	4.65	4.65	4.65	4.65	0	4.65	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67.85	0	0	0	67.85	67.85	0	0	0	0	0	0	0	0	67.85	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	67.85	0	67.85	0	0	0	135.7	67.85	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	0	0	0	0	0	67.85	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.85	135.7	0	0	0	0	67.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
